State	State Code	Year	Year Code	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
Florida	12	2021	2021	3142	21781128	14.4	14.1	1.40%
Florida	12	2022	2022	3232	22244823	14.5	14	1.50%
Florida	12			15189	108536325	14	13.5	6.90%
Georgia	13	2018	2018	1680	10519475	16	15.7	0.80%
Georgia	13	2019	2019	1695	10617423	16	15.8	0.80%
Georgia	13	2020	2020	1897	10710017	17.7	17.7	0.90%
Georgia	13	2021	2021	2200	10799566	20.4	20.3	1.00%
Georgia	13	2022	2022	2163	10912876	19.8	19.7	1.00%
Georgia	13			9635	53559357	18	17.9	4.30%
Hawaii	15	2018	2018	59	1420491	4.2	4	0.00%
Hawaii	15	2019	2019	62	1415872	4.4	4.4	0.00%
Hawaii	15	2020	2020	50	1407006	3.6	3.4	0.00%
Hawaii	15	2021	2021	71	1441553	4.9	4.8	0.00%
Hawaii	15	2022	2022	66	1440196	4.6	4.5	0.00%
Hawaii	15			308	7125118	4.3	4.2	0.10%
Idaho	16	2018	2018	294	1754208	16.8	16.6	0.10%
Idaho	16	2019	2019	255	1787065	14.3	14.2	0.10%
Idaho	16	2020	2020	321	1826913	17.6	17.6	0.10%
Idaho	16	2021	2021	309	1900923	16.3	16.3	0.10%
Idaho	16	2022	2022	338	1939033	17.4	17	0.20%
Idaho	16			1517	9208142	16.5	16.4	0.70%
Illinois	17	2018	2018	1382	12741080	10.8	10.9	0.60%
Illinois	17	2019	2019	1367	12671821	10.8	10.8	0.60%
Illinois	17	2020	2020	1745	12587530	13.9	14.1	0.80%
Illinois	17	2021	2021	1995	12671469	15.7	16.1	0.90%
Illinois	17	2022	2022	1798	12582032	14.3	14.4	0.80%
Illinois	17			8287	63253932	13.1	13.2	3.70%
Indiana	18	2018	2018	977	6691878	14.6	14.7	0.40%
Indiana	18	2019	2019	958	6732219	14.2	14.1	0.40%
Indiana	18	2020	2020	1159	6754953	17.2	17.3	0.50%
Indiana	18	2021	2021	1251	6805985	18.4	18.4	0.60%
Indiana	18	2022	2022	1211	6833037	17.7	17.4	0.50%
Indiana	18			5556	33818072	16.4	16.4	2.50%
Iowa	19	2018	2018	282	3156145	8.9	8.7	0.10%
Iowa	19	2019	2019	294	3155070	9.3	9.1	0.10%
Iowa	19	2020	2020	351	3163561	11.1	11.2	0.20%
Iowa	19	2021	2021	364	3193079	11.4	11.2	0.20%
Iowa	19	2022	2022	367	3200517	11.5	11.2	0.20%
Iowa	19			1658	15868372	10.4	10.3	0.70%
Kansas	20	2018	2018	424	2911505	14.6	14.8	0.20%
Kansas	20	2019	2019	403	2913314	13.8	13.7	0.20%
Kansas	20	2020	2020	494	2913805	17	16.9	0.20%
Kansas	20	2021	2021	503	2934582	17.1	17.3	0.20%
Kansas	20	2022	2022	492	2937150	16.8	16.8	0.20%
Kansas	20			2316	14610356	15.9	15.9	1.00%
Kentucky	21	2018	2018	762	4468402	17.1	16.9	0.30%
Kentucky	21	2019	2019	682	4467673	15.3	14.9	0.30%
Kentucky	21	2020	2020	902	4477251	20.1	20.1	0.40%
Kentucky	21	2021	2021	947	4509394	21	21.1	0.40%
Kentucky	21	2022	2022	840	4512310	18.6	18.8	0.40%
Kentucky	21			4133	22435030	18.4	18.4	1.90%
Louisiana	22	2018	2018	991	4659978	21.3	21.4	0.40%
Louisiana	22	2019	2019	1013	4648794	21.8	22.1	0.50%
Louisiana	22	2020	2020	1183	4645318	25.5	26.3	0.50%
Louisiana	22	2021	2021	1314	4624047	28.4	29.1	0.60%
Louisiana	22	2022	2022	1266	4590241	27.6	28.2	0.60%
Louisiana	22			5767	23168378	24.9	25.4	2.60%
Maine	23	2018	2018	159	1338404	11.9	10.3	0.10%
Maine	23	2019	2019	163	1344212	12.1	11.5	0.10%
Maine	23	2020	2020	153	1350141	11.3	10.4	0.10%
Maine	23	2021	2021	178	1372247	13	12.6	0.10%
Maine	23	2022	2022	179	1385340	12.9	11.7	0.10%
Maine	23			832	6790344	12.3	11.3	0.40%
Maryland	24	2018	2018	707	6042718	11.7	11.7	0.30%
Maryland	24	2019	2019	757	6045680	12.5	12.6	0.30%
Maryland	24	2020	2020	803	6055802	13.3	13.5	0.40%
Maryland	24	2021	2021	915	6165129	14.8	15.2	0.40%
Maryland	24	2022	2022	813	6164660	13.2	13.6	0.40%
Maryland	24			3995	30473989	13.1	13.3	1.80%
Massachusetts	25	2018	2018	258	6902149	3.7	3.5	0.10%
Massachusetts	25	2019	2019	247	6892503	3.6	3.4	0.10%
Massachusetts	25	2020	2020	268	6893574	3.9	3.7	0.10%
Massachusetts	25	2021	2021	247	6984723	3.5	3.4	0.10%
Massachusetts	25	2022	2022	263	6981974	3.8	3.7	0.10%
Massachusetts	25			1283	34654923	3.7	3.5	0.60%
Michigan	26	2018	2018	1310	9995915	13.1	12.9	0.60%
Michigan	26	2019	2019	1220	9986857	12.2	12.1	0.60%
Michigan	26	2020	2020	1454	9966555	14.6	14.6	0.70%
Michigan	26	2021	2021	1544	10050811	15.4	15.4	0.70%
Michigan	26	2022	2022	1504	10034113	15	15	0.70%
Michigan	26			7032	50034251	14.1	14	3.20%
Minnesota	27	2018	2018	437	5611179	7.8	7.8	0.20%
Minnesota	27	2019	2019	465	5639632	8.2	8.1	0.20%
Minnesota	27	2020	2020	513	5657342	9.1	8.9	0.20%
Minnesota	27	2021	2021	573	5707390	10	10	0.30%
Minnesota	27	2022	2022	561	5717184	9.8	9.6	0.30%
Minnesota	27			2549	28332727	9	8.9	1.10%
Mississippi	28	2018	2018	681	2986530	22.8	22.9	0.30%
Mississippi	28	2019	2019	710	2976149	23.9	24.2	0.30%
Mississippi	28	2020	2020	818	2966786	27.6	28.6	0.40%
Mississippi	28	2021	2021	962	2949965	32.6	33.9	0.40%
Mississippi	28	2022	2022	848	2940057	28.8	29.6	0.40%
Mississippi	28			4019	14819487	27.1	27.9	1.80%
Missouri	29	2018	2018	1311	6126452	21.4	21.5	0.60%
Missouri	29	2019	2019	1252	6137428	20.4	20.6	0.60%
Missouri	29	2020	2020	1426	6151548	23.2	23.9	0.60%
Missouri	29	2021	2021	1414	6168187	22.9	23.2	0.60%
Missouri	29	2022	2022	1489	6177957	24.1	24.2	0.70%
Missouri	29			6892	30761572	22.4	22.7	3.10%
Montana	30	2018	2018	186	1062305	17.5	17.3	0.10%
Montana	30	2019	2019	209	1068778	19.6	19	0.10%
Montana	30	2020	2020	238	1080577	22	20.9	0.10%
Montana	30	2021	2021	280	1104271	25.4	25.1	0.10%
Montana	30	2022	2022	274	1122867	24.4	23.9	0.10%
Montana	30			1187	5438798	21.8	21.3	0.50%
Nebraska	31	2018	2018	183	1929268	9.5	9	0.10%
Nebraska	31	2019	2019	205	1934408	10.6	10.4	0.10%
Nebraska	31	2020	2020	197	1937552	10.2	10.1	0.10%
Nebraska	31	2021	2021	200	1963692	10.2	10.3	0.10%
Nebraska	31	2022	2022	244	1967923	12.4	12.2	0.10%
Nebraska	31			1029	9732843	10.6	10.4	0.50%
Nevada	32	2018	2018	550	3034392	18.1	17.9	0.20%
Nevada	32	2019	2019	490	3080156	15.9	15.3	0.20%
Nevada	32	2020	2020	547	3138259	17.4	17	0.20%
Nevada	32	2021	2021	633	3143991	20.1	19.8	0.30%
Nevada	32	2022	2022	618	3177772	19.4	18.9	0.30%
Nevada	32			2838	15574570	18.2	17.7	1.30%
New Hampshire	33	2018	2018	155	1356458	11.4	10.8	0.10%
New Hampshire	33	2019	2019	156	1359711	11.5	10.7	0.10%
New Hampshire	33	2020	2020	128	1366275	9.4	8.9	0.10%
New Hampshire	33	2021	2021	123	1388992	8.9	8.3	0.10%
New Hampshire	33	2022	2022	156	1395231	11.2	10.1	0.10%
New Hampshire	33			718	6866667	10.5	9.8	0.30%
New Jersey	34	2018	2018	420	8908520	4.7	4.8	0.20%
New Jersey	34	2019	2019	368	8882190	4.1	4.1	0.20%
New Jersey	34	2020	2020	443	8882371	5	5	0.20%
New Jersey	34	2021	2021	475	9267130	5.1	5.2	0.20%
New Jersey	34	2022	2022	468	9261699	5.1	5	0.20%
New Jersey	34			2174	45201910	4.8	4.8	1.00%
New Mexico	35	2018	2018	438	2095428	20.9	20.7	0.20%
New Mexico	35	2019	2019	471	2096829	22.5	22.3	0.20%
New Mexico	35	2020	2020	479	2106319	22.7	22.7	0.20%
New Mexico	35	2021	2021	578	2115877	27.3	27.8	0.30%
New Mexico	35	2022	2022	571	2113344	27	27.3	0.30%
New Mexico	35			2537	10527797	24.1	24.2	1.10%
New York	36	2018	2018	821	19542209	4.2	4.1	0.40%
New York	36	2019	2019	804	19453561	4.1	3.9	0.40%
New York	36	2020	2020	1052	19336776	5.4	5.3	0.50%
New York	36	2021	2021	1078	19835913	5.4	5.4	0.50%
New York	36	2022	2022	1044	19677151	5.3	5.3	0.50%
New York	36			4799	97845610	4.9	4.8	2.20%
North Carolina	37	2018	2018	1416	10383620	13.6	13.3	0.60%
North Carolina	37	2019	2019	1397	10488084	13.3	13.1	0.60%
North Carolina	37	2020	2020	1699	10600823	16	16	0.80%
North Carolina	37	2021	2021	1839	10551162	17.4	17.3	0.80%
North Carolina	37	2022	2022	1831	10698973	17.1	16.8	0.80%
North Carolina	37			8182	52722662	15.5	15.3	3.70%
North Dakota	38	2018	2018	89	760077	11.7	11.5	0.00%
North Dakota	38	2019	2019	93	762062	12.2	12.4	0.00%
North Dakota	38	2020	2020	100	765309	13.1	13.8	0.00%
North Dakota	38	2021	2021	128	774948	16.5	16.8	0.10%
North Dakota	38	2022	2022	125	779261	16	16.4	0.10%
North Dakota	38			535	3841657	13.9	14.2	0.20%
Ohio	39	2018	2018	1555	11689442	13.3	13.1	0.70%
Ohio	39	2019	2019	1578	11689100	13.5	13.3	0.70%
Ohio	39	2020	2020	1764	11693217	15.1	15.2	0.80%
Ohio	39	2021	2021	1911	11780017	16.2	16.5	0.90%
Ohio	39	2022	2022	1831	11756058	15.6	15.6	0.80%
Ohio	39			8639	58607834	14.7	14.8	3.90%
Oklahoma	40	2018	2018	665	3943079	16.9	16.8	0.30%
Oklahoma	40	2019	2019	737	3956971	18.6	18.6	0.30%
Oklahoma	40	2020	2020	826	3980783	20.7	20.7	0.40%
Oklahoma	40	2021	2021	836	3986639	21	21.2	0.40%
Oklahoma	40	2022	2022	797	4019800	19.8	19.8	0.40%
Oklahoma	40			3861	19887272	19.4	19.4	1.70%
Oregon	41	2018	2018	519	4190713	12.4	11.7	0.20%
Oregon	41	2019	2019	566	4217737	13.4	12.6	0.30%
Oregon	41	2020	2020	592	4241507	14	13	0.30%
Oregon	41	2021	2021	670	4246155	15.8	14.9	0.30%
Oregon	41	2022	2022	655	4240137	15.4	14.4	0.30%
Oregon	41			3002	21136249	14.2	13.3	1.40%
Pennsylvania	42	2018	2018	1654	12807060	12.9	12.5	0.70%
Pennsylvania	42	2019	2019	1541	12801989	12	11.7	0.70%
Pennsylvania	42	2020	2020	1752	12783254	13.7	13.6	0.80%
Pennsylvania	42	2021	2021	1905	12964056	14.7	14.8	0.90%
Pennsylvania	42	2022	2022	1941	12972008	15	14.7	0.90%
Pennsylvania	42			8793	64328367	13.7	13.5	4.00%
Rhode Island	44	2018	2018	37	1057315	3.5	3.3	0.00%
Rhode Island	44	2019	2019	48	1059361	4.5	4.6	0.00%
Rhode Island	44	2020	2020	54	1057125	5.1	5.1	0.00%
Rhode Island	44	2021	2021	64	1095610	5.8	5.6	0.00%
Rhode Island	44	2022	2022	37	1093734	3.4	3.1	0.00%
Rhode Island	44			240	5363145	4.5	4.3	0.10%
South Carolina	45	2018	2018	895	5084127	17.6	17.6	0.40%
South Carolina	45	2019	2019	1012	5148714	19.7	19.9	0.50%
South Carolina	45	2020	2020	1131	5218040	21.7	22	0.50%
South Carolina	45	2021	2021	1136	5190705	21.9	22.4	0.50%
South Carolina	45	2022	2022	1105	5282634	20.9	20.8	0.50%
South Carolina	45			5279	25924220	20.4	20.5	2.40%
South Dakota	46	2018	2018	117	882235	13.3	13.6	0.10%
South Dakota	46	2019	2019	113	884659	12.8	13.1	0.10%
South Dakota	46	2020	2020	120	892717	13.4	13.6	0.10%
South Dakota	46	2021	2021	128	895376	14.3	14.3	0.10%
South Dakota	46	2022	2022	141	909824	15.5	15.7	0.10%
South Dakota	46			619	4464811	13.9	14	0.30%
Tennessee	47	2018	2018	1228	6770010	18.1	17.8	0.60%
Tennessee	47	2019	2019	1270	6829174	18.6	18.4	0.60%
Tennessee	47	2020	2020	1473	6886834	21.4	21.3	0.70%
Tennessee	47	2021	2021	1569	6975218	22.5	22.8	0.70%
Tennessee	47	2022	2022	1480	7051339	21	20.5	0.70%
Tennessee	47			7020	34512575	20.3	20.2	3.20%
Texas	48	2018	2018	3522	28701845	12.3	12.2	1.60%
Texas	48	2019	2019	3683	28995881	12.7	12.7	1.70%
Texas	48	2020	2020	4164	29360759	14.2	14.2	1.90%
Texas	48	2021	2021	4613	29527941	15.6	15.6	2.10%
Texas	48	2022	2022	4630	30029572	15.4	15.3	2.10%
Texas	48			20612	146615998	14.1	14	9.30%
Utah	49	2018	2018	397	3161105	12.6	13.2	0.20%
Utah	49	2019	2019	394	3205958	12.3	12.8	0.20%
Utah	49	2020	2020	429	3249879	13.2	13.6	0.20%
Utah	49	2021	2021	450	3337975	13.5	13.9	0.20%
Utah	49	2022	2022	446	3380800	13.2	13.7	0.20%
Utah	49			2116	16335717	13	13.5	1.00%
Vermont	50	2018	2018	82	626299	13.1	12.8	0.00%
Vermont	50	2019	2019	67	623989	10.7	9.3	0.00%
Vermont	50	2020	2020	76	623347	12.2	11.6	0.00%
Vermont	50	2021	2021	83	645570	12.9	11.9	0.00%
Vermont	50	2022	2022	84	647064	13	12	0.00%
Vermont	50			392	3166269	12.4	11.5	0.20%
Virginia	51	2018	2018	1035	8517685	12.2	11.8	0.50%
Virginia	51	2019	2019	1025	8535519	12	11.7	0.50%
Virginia	51	2020	2020	1174	8590563	13.7	13.4	0.50%
Virginia	51	2021	2021	1248	8642274	14.4	14.3	0.60%
Virginia	51	2022	2022	1316	8683619	15.2	14.9	0.60%
Virginia	51			5798	42969660	13.5	13.2	2.60%
Washington	53	2018	2018	809	7535591	10.7	10.4	0.40%
Washington	53	2019	2019	842	7614893	11.1	10.7	0.40%
Washington	53	2020	2020	864	7693612	11.2	10.9	0.40%
Washington	53	2021	2021	896	7738692	11.6	11.2	0.40%
Washington	53	2022	2022	1022	7785786	13.1	12.4	0.50%
Washington	53			4433	38368574	11.6	11.2	2.00%
West Virginia	54	2018	2018	343	1805832	19	18.2	0.20%
West Virginia	54	2019	2019	300	1792147	16.7	16.6	0.10%
West Virginia	54	2020	2020	325	1784787	18.2	18.1	0.10%
West Virginia	54	2021	2021	319	1782959	17.9	17.3	0.10%
West Virginia	54	2022	2022	311	1775156	17.5	16.2	0.10%
West Virginia	54			1598	8940881	17.9	17.3	0.70%
Wisconsin	55	2018	2018	598	5813568	10.3	10.1	0.30%
Wisconsin	55	2019	2019	604	5822434	10.4	10	0.30%
Wisconsin	55	2020	2020	717	5832655	12.3	12.2	0.30%
Wisconsin	55	2021	2021	793	5895908	13.5	13.5	0.40%
Wisconsin	55	2022	2022	830	5892539	14.1	14	0.40%
Wisconsin	55			3542	29257104	12.1	12	1.60%
Wyoming	56	2018	2018	124	577737	21.5	21.5	0.10%
Wyoming	56	2019	2019	133	578759	23	22.3	0.10%
Wyoming	56	2020	2020	154	582328	26.4	25.9	0.10%
Wyoming	56	2021	2021	155	578803	26.8	26.1	0.10%
Wyoming	56	2022	2022	124	581381	21.3	20.4	0.10%
Wyoming	56			690	2899008	23.8	23.2	0.30%
				221703	1650072382	13.4	13.3	100.00%
